Feature,Test,p_value
"PREDICT_original_vf_Frangi_edge_quartile_range_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,8.28932046534596e-07
"PREDICT_original_vf_Frangi_full_quartile_range_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,8.28932046534596e-07
"PREDICT_original_vf_Frangi_inner_range_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.2969779821406579e-06
"PREDICT_original_vf_Frangi_inner_max_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.322243162510398e-06
"PREDICT_original_vf_Frangi_inner_std_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.9390589209249594e-06
"PREDICT_original_vf_Frangi_edge_mean_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,3.2222502261006518e-06
"PREDICT_original_vf_Frangi_full_mean_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,3.2222502261006518e-06
"PREDICT_original_vf_Frangi_inner_energy_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.0867531677611049e-05
"PREDICT_original_vf_Frangi_full_max_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.1662185081526901e-05
"PREDICT_original_vf_Frangi_full_range_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.1662185081526901e-05
"PREDICT_original_vf_Frangi_edge_range_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.1662185081526901e-05
"PREDICT_original_vf_Frangi_edge_max_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.1662185081526901e-05
"PREDICT_original_vf_Frangi_inner_mean_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.1662185081526901e-05
"PREDICT_original_vf_Frangi_inner_quartile_range_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,1.20800200687232e-05
"PREDICT_original_vf_Frangi_full_energy_SR(1.0, 10.0)_SS2.0",Mann-Whitney U-test,2.5399701320111714e-05
